id,user_id,document_name,description,pdf_name,pdf_path,status,latitude,longitude,created_at,updated_at,color_id,color_status,is_fake,state,county,attachment_permission
7,290,Misc.Red Flags,ES&S machines in poll manager training room,.png,/pdf/.png,1,NULL,NULL,5/18/2022 13:57,11/6/2023 12:49,3,1,0,NULL,NULL,1
10,342,Mail in Ballot Issues,"Why is a person registered to vote at the Nokomis Beach Park Bath House and the mail in ballot is going to France?  208 S Casey Key Road Nokomis FL. Voter id# 127896777 Barbara Claire Weber Baures 2 Ter Avenue, Jean Casale 78530 BUC France Race 9, Female, born 1/15/1963, registered 2/13/2020, Democrat, Voted absentee March 8, 2022, Nov 3, 2020 and March 17, 2020.  No voting history before that.",.png,/pdf/.png,1,NULL,NULL,5/28/2022 2:29,8/30/2023 13:53,2,1,0,NULL,NULL,1
11,448,Misc. Red Flags,"Found a bus broke down with ballot printers. They were  Election Systems Software. At the time reporting said Arizona did not use ESS machines.  During our AZ. audit there was mention of ESS print your ballot at the poll. Now I'm hearing there was voter fraud in Yuma County. The person driving the bus said he obtained the printers, paper for them in yuma. thanks, Shannon Benbow",Fri Jun 03 16_16_43 MST 2022.jpg,/pdf/Fri Jun 03 16_16_43 MST 2022.jpg,1,NULL,NULL,6/3/2022 23:17,8/30/2023 13:52,3,1,0,NULL,NULL,1
12,486,Help/Support,How do I see other candidates beside Finchem?,.png,/pdf/.png,1,NULL,NULL,6/4/2022 20:50,6/4/2022 20:50,NULL,0,0,NULL,NULL,1
13,497,Misc. Red Flags,early voting again without requesting it. no information on polling locations as to whether they were resuming the original locations or going to the centralized location as we did for gubernatorial.,1654390984885.jpg,/pdf/1654390984885.jpg,1,NULL,NULL,6/5/2022 1:03,8/30/2023 13:52,2,1,0,NULL,NULL,1
14,526,Misc.Red Flags,"5/2/22 Early Voting Coverage at Bridgeport Police Department, Wise County. While I was voting, a lady came in to question why the propositions weren’t on the ballot she had just cast. She was told that where she lived bordered two cities therefore she wasn’t able to vote on them, and was told besides, “you already cast your vote so nothing can be done now anyway”.",.png,/pdf/.png,1,NULL,NULL,6/5/2022 21:52,8/30/2023 1:03,3,1,0,NULL,NULL,1
15,559,Polling Location Issues,Ballots were pre-initialled by the precinct workers prior to being given out. Instead of being initialled upon being given out. This is a red flag for me because it seems like it would make cheating easier.,.png,/pdf/.png,1,NULL,NULL,6/8/2022 2:20,8/30/2023 1:02,3,1,0,NULL,NULL,1
16,583,Mail in Ballot Issues,"I live in a retirement community of over 200 residents. A very high percentage of us did not receive our ballots in the mail. Most of the residents do not drive and so many of them did not vote. Where did the missing ballots go? It seems very, very strange that such a high percentage of us lost our right to vote.",.png,/pdf/.png,1,NULL,NULL,6/10/2022 21:32,8/30/2023 1:02,4,1,0,NULL,NULL,1
17,292,Help/Support,"Found voter on voter role who is either deceased or alias name by other voter registered in the household. 5434 E Lincoln Dr unit 42 Paradise Valley, Arizona 85253  Mark John Stanton - valid name (alias name listed as M J Stungevicius). NOTE SPELLING of last name ends in “us”.  M J Stungevicins NOTE SPELLING of last name ends in “ns”.   The M J Stungevicins on voter roll is registered at 101 years old.  Found death certificate for “Mary Jane Bermingham Stungevicius (ends in “us”) who is Mark John Stanton’s mother.  She died February 3, 2000.  Information found on voter role: Maricopa County LD 4 Cheney Precinct",.png,/pdf/.png,1,NULL,NULL,6/13/2022 16:51,8/30/2023 0:59,3,1,0,NULL,NULL,1
18,347,Mail in Ballot Issues,"My Son Jeremy Scott Wright and His Wife Jasmine Lyn Wright (Smallwood is her Maiden Name) Did not receive there Mail In Ballots. They are both registered Republicans and did not vote. Today is. Monday June 27,2022, they left town and are currently in Texas. They did not vote before leaving.My name is Kevin Scott Wright 720 298-0854",Mon Jun 27 21_09_45 MDT 2022.jpg,/pdf/Mon Jun 27 21_09_45 MDT 2022.jpg,1,NULL,NULL,6/28/2022 3:10,8/30/2023 0:58,3,1,0,NULL,NULL,1
19,809,Mail in Ballot Issues,"I wasn’t in this group but wanted you all to know this!  Horry County in South Carolina mailed out 1,377 Democratic ballots to Horry County Republican voters!",.png,/pdf/.png,1,NULL,NULL,6/28/2022 3:13,8/30/2023 0:51,2,1,0,NULL,NULL,1
24,683,Misc.Red Flags,Made to use sharpie witch resulted in extreme bleed through.,.png,/pdf/.png,1,NULL,NULL,6/29/2022 13:02,8/30/2023 0:51,3,1,0,NULL,NULL,1
27,1001,Polling Location Issues,after my vote was entered in the machine I was told that I could vote for 2 comptroller. did I want to review/change my ballot? I declined. the ballot said Choose One for that position. is it normal to CHANGE after the ballot has been entered?,Wed Jun 29 09_58_11 CDT 2022.jpg,/pdf/Wed Jun 29 09_58_11 CDT 2022.jpg,1,NULL,NULL,6/29/2022 14:58,8/30/2023 0:48,3,1,0,NULL,NULL,1
28,1009,Misc.Red Flags,Polling pads were WiFi connected at both locations Batesville Public Library and Knights of Columbus!,.png,/pdf/.png,1,NULL,NULL,6/29/2022 16:06,8/30/2023 0:47,3,1,0,NULL,NULL,1
29,1096,Polling Location Issues,"When I fist arrived to pollwatch at 6:00 pm on June 28, 2022, at 720 N Main Street, Pueblo, Colorado, there was commotion about someone having tampered with the seal on one of the ICX Voting machines inside the voting booth. Drake, the election supervisor who had been sent from the SOS Office to oversee the election, and Bo Ortiz, the current County Clerk & Recorder were trying to figure out who has jurisdiction over this matter. Approximately 20 minutes later they told me the State was coming. At 7:00 pm I left to go to the 1st floor to the Agilles room to watch the tubs come in from the 14 drop box locations. I don't know how the issue was resolved regarding the tampered seal on the ICX Voting machine. As a pollwatcher I am not allowed to take pictures. I have taken a picture of my pollwatching notes where I documented the incident.",Wed Jun 29 22_03_34 MDT 2022.jpg,/pdf/Wed Jun 29 22_03_34 MDT 2022.jpg,1,NULL,NULL,6/30/2022 4:03,8/30/2023 0:48,4,1,0,NULL,NULL,1
30,1096,Polling Location Issues,"on June 27, 2022, at Pueblo County Election Office, 720 N Main St, Pueblo, Colorado, as I was observing the Voter Registration/Check-In Process, Bo Ortiz asked one of the Election Judges, ""If there is a preference, does it show up?"" After a short discussion she told him yes, if there was a preference it would show up...it's on the ""Update Registration"" tab. Then she added, after the election the State cleans out all preferences.   Also, on that same day and place, one Election Judge's machine was locked and she was unable to work from it. At the same time another Election Judge at the same table was unable to access a voter's record through E-Poll. Even Sarah, the supervisor for that process was unable to access it through E-Poll so she stated she would have to go into ""Classic"" (I believe that's what she called it) and was finally able to access the record through that. Is it normal throughout all counties that there are two separate databases that can be used to access voter records?",Wed Jun 29 23_00_02 MDT 2022.jpg,/pdf/Wed Jun 29 23_00_02 MDT 2022.jpg,1,NULL,NULL,6/30/2022 5:00,8/30/2023 1:15,2,1,0,NULL,NULL,1
33,1096,Polling Location Issues,"At the Election Office in Pueblo, Colorado at 720 N. Main St, the protocol is to use only one Election Judge at Tier One Signature Verification. Is that correct? Is it standard protocol for all counties across the state? I t was stated in the public tour that I went through on 6/22/22, that every process has two Election Judges.",Thu Jun 30 00_03_25 MDT 2022.jpg,/pdf/Thu Jun 30 00_03_25 MDT 2022.jpg,1,NULL,NULL,6/30/2022 6:03,8/30/2023 1:15,2,1,0,NULL,NULL,1
36,762,Polling Location Issues,"On Tuesday in Oak Lawn, IL they only offered sharpies for paper ballots.",.png,/pdf/.png,1,NULL,NULL,6/30/2022 15:35,8/30/2023 1:14,3,1,0,NULL,NULL,1
37,1213,Mail in Ballot Issues,My signature is never the same and is a scribble that in no way resembles my name. I sent in my Utah county primary election mail in ballot and my vote was counted. I checked to see if Utah requires signature verification and Utah does. Utah is also supposed to contact the voter if the signature cannot be matched. I called my county sheriff and left a voicemail to request a complaint to be filed. I emailed the Utah county and the Lt. gov to request a complaint be filed. The county and Lt. gov emailed me back saying that they verified my signature with signatures they have on file and found it to be authentic. There is no possible way they actually verified my signature.,.png,/pdf/.png,1,NULL,NULL,6/30/2022 23:57,8/30/2023 1:14,3,1,0,NULL,NULL,1
38,1212,Misc.Red Flags,Suffolk VA sent out new voter registration cards showing where your “new precinct” is located. We have had about 15 people in Suffolk tell us that they received 2 copies of theirs in 2 different envelopes on 2 different days. Why would they get duplicates like this? Is this some funny business going on in our city? Or an honest mistake? Did a whole lot of other people get duplicates sent to them?,.png,/pdf/.png,1,NULL,NULL,7/1/2022 0:10,8/30/2023 1:14,3,1,0,NULL,NULL,1
47,1256,Help/Support,The map doesn't show up,Sat Jul 02 11_23_25 EDT 2022.jpg,/pdf/Sat Jul 02 11_23_25 EDT 2022.jpg,1,NULL,NULL,7/2/2022 15:23,8/30/2023 1:13,2,1,0,NULL,NULL,1
48,1315,Misc.Red Flags,I’m not in AZ and this group knows it. They communicate to me about my home state most years.  It’s just an odd request right before a big election with a lot at stake in AZ.,.png,/pdf/.png,1,NULL,NULL,7/2/2022 15:42,8/30/2023 1:13,2,1,0,NULL,NULL,1
50,1312,Mail in Ballot Issues,"I live in Saint Petersburg, Florida 33701 in Pinellas County.  Due to redistricting I just received a brand new voter registration card for a man who has not lived in my home for many years. I am not even sure he is alive. I have an appointment with the history museum to check if he is still alive or if I can find proof that he is either deceased with an obituary or if he moved.  I will submit my findings as soon as I have more data. What is being submitted right now is a picture of the mailed registration card. I also have a picture from the USPS which shows what mail is coming to my house but I can't load that along with this submission due to 1 picture upload limitations.   This app needs to be updated with the ability to upload multiple images.",Sun Jul 03 09_21_38 EDT 2022.jpg,/pdf/Sun Jul 03 09_21_38 EDT 2022.jpg,1,NULL,NULL,7/3/2022 13:23,8/30/2023 1:03,3,1,0,NULL,NULL,1
